University Name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment
Gettysburg College,Pennsylvania,PA,Private,Private,4 Year,13010,54480,67490,54480,58400,109300,1,87,113,0,45,70,2131,2447
Goddard College,Vermont,VT,Private,Private,4 Year,1698,16586,18284,16586,42700,76900,2,19,24,2,10,9,472,538
Goldey-Beacom College,Delaware,DE,Private,Private,4 Year,6400,24300,30700,24300,49800,86900,4,215,28,0,55,26,1684,2012
Gonzaga University,Washington,WA,Private,Private,4 Year,11944,43210,55154,43210,57800,107600,57,119,561,27,289,307,5992,7352
Goucher College,Maryland,MD,Private,Private,4 Year,14506,44300,58806,44300,49400,90600,5,218,137,1,55,62,1642,2120
Grambling State University,Louisiana,LA,Public,Public,4 Year,7192,7435,14627,16458,43100,73100,13,4088,41,2,10,56,294,4504
Green Mountain College,Vermont,VT,Private,Private,4 Year,11722,37002,48724,37002,42000,75200,8,34,28,0,7,9,747,833
Grinnell College,Iowa,IA,Private,Private,4 Year,12810,52392,65202,52392,53400,96500,3,100,134,0,128,74,1295,1734
Gustavus Adolphus College,Minnesota,MN,Private,Private,4 Year,9910,45400,55310,45400,51200,96800,2,46,81,1,97,86,2144,2457
Hamline University,Minnesota,MN,Private,Private,4 Year,10358,41298,51656,41298,48100,90400,25,190,180,5,180,131,3758,4469
Hampden-Sydney College,Virginia,VA,Private,Private,4 Year,13558,45746,59304,45746,58300,108600,5,85,23,0,20,60,912,1105
Hampton University,Virginia,VA,Private,Private,4 Year,11778,26702,38480,26702,52700,92600,6,3921,50,0,71,1,344,4393
Hanover College,Indiana,IN,Private,Private,4 Year,11580,37670,49250,37670,47500,85100,7,55,26,0,16,21,1020,1145
Harding University,Arkansas,AR,Private,Private,4 Year,7044,20135,27179,20135,49200,88600,46,303,158,1,86,87,5378,6059
Harvey Mudd College,California,CA,Private,Private,4 Year,18127,56876,75003,56876,88800,158200,4,13,80,0,167,50,490,804
