university name,American Indian,Black,Hispanic,Pacific Islander,Asian,2+ races,Other,Total Enrollment
Loyola University Maryland,12,465,470,5,190,135,4690,5967
Loyola University New Orleans,32,655,541,3,143,133,2823,4330
Luther College,8,34,80,0,39,49,2175,2385
Lyndon State College,13,49,48,1,11,28,1280,1430
Lyon College,10,47,44,0,11,0,600,712
Macalester College,1,49,123,1,146,111,1642,2073
Maharishi University of Management,3,94,43,0,25,22,1267,1454
Maine College of Art,0,7,27,0,10,22,393,459
Maine Maritime Academy,3,6,8,2,7,0,1034,1060
Manchester University,2,86,67,0,61,43,1229,1488
Manhattan Christian College,5,8,9,0,1,3,285,311
Manhattan College,7,138,701,0,151,72,2901,3970
Marietta College,2,69,38,0,20,32,1339,1500
Marquette University,29,463,950,11,527,329,9436,11745
Marshall University,47,738,231,10,157,268,11930,13381
Maryland Institute College of Art,3,137,140,3,259,116,1604,2262
Marymount University,17,500,451,17,274,109,2073,3441
Maryville College,9,135,34,2,14,32,987,1213
Maryville University of Saint Louis,39,577,219,13,164,142,4777,5931
Massachusetts Institute of Technology,18,344,1087,1,1832,415,7622,11319
Massachusetts Maritime Academy,18,33,42,1,38,10,1355,1497
Mayville State University,19,70,51,5,2,32,902,1081
McDaniel College,15,336,133,3,89,0,2630,3206
McNeese State University,53,1421,211,6,121,172,6253,8237
McPherson College,2,82,74,4,4,18,475,659
MCPHS University,7,330,184,8,1469,24,4913,6935
Menlo College,6,55,166,21,56,55,435,794
Mercer University,45,2550,330,12,566,144,4905,8552
Merrimack College,3,99,177,0,45,47,2966,3337
Methodist University,20,454,186,5,37,83,1676,2461
Michigan State University,127,3196,1878,46,2214,1217,41403,50081
Michigan Technological University,33,95,117,8,82,156,6608,7099
Mid-America Christian University,105,743,180,10,14,100,1536,2688
MidAmerica Nazarene University,13,203,104,11,28,23,1488,1870
Middle Tennessee State University,71,4407,917,22,589,647,16076,22729
Middlebury College,7,73,220,0,170,118,1945,2533
Midland University,5,68,38,6,10,92,1143,1362
Miles College,0,1732,5,1,0,10,34,1782
Milligan College,3,46,52,2,15,19,1027,1164
Millsaps College,6,89,18,0,35,6,688,842
Milwaukee School of Engineering,6,72,125,13,86,41,2467,2810
Minneapolis College of Art and Design,7,31,48,0,57,0,640,783
Minot State University,52,167,167,13,46,100,2865,3410
Mississippi College,26,1164,124,5,118,52,3495,4984
Mississippi State University,104,3871,457,17,263,273,15153,20138
Mississippi University for Women,6,987,20,2,41,12,1628,2696
Mississippi Valley State University,1,2033,25,0,13,0,150,2222
Missouri University of Science and Technology,30,290,256,14,226,167,7657,8640
Monmouth University,8,351,585,7,215,127,5102,6395
Montana Tech of the University of Montana,35,23,34,0,20,1,1972,2085
Montclair State University,13,1946,4447,38,1015,637,11926,20022
Morehead State University,20,409,162,12,41,142,10266,11052
Morehouse College,1,1988,13,0,1,4,102,2109
Morningside College,10,29,87,5,14,29,2649,2823
Mount Carmel College of Nursing,4,64,20,2,15,24,955,1084
Mount Marty College,29,34,64,5,13,0,1091,1236
Mount Mercy University,6,74,24,2,25,25,1606,1762
Muhlenberg College,4,74,155,0,64,36,2107,2440
Multnomah University,6,28,46,4,9,30,630,753
Murray State University,22,776,196,6,99,171,9937,11207
Nebraska Wesleyan University,6,60,92,2,38,30,1855,2083
New College of Florida,1,22,127,0,20,38,626,834
New England College,11,411,148,0,48,20,1761,2399
New England Institute of Technology,19,133,283,2,51,29,2405,2922
New Jersey City University,19,1624,2623,0,660,98,3112,8136
New Jersey Institute of Technology,6,899,1749,3,1901,267,5821,10646
New Mexico Highlands University,233,163,1891,18,29,43,1169,3546
New Mexico Institute of Mining and Technology,54,46,522,2,67,71,1365,2127
New York University,94,2374,4267,45,7314,1248,33932,49274
Newberry College,4,283,48,1,7,32,718,1093
Newman University,45,140,362,7,180,93,2860,3687
Nicholls State University,117,1242,197,4,70,176,4486,6292
North Carolina Wesleyan College,18,895,38,0,11,32,878,1872
North Central College,3,118,276,2,66,79,2499,3043
Northeastern State University,1754,360,338,9,167,1138,4544,8310
Northeastern University,10,624,1103,7,1753,597,15704,19798
Northern Arizona University,838,888,5368,62,468,1337,18744,27705
Northern Illinois University,30,2825,2531,22,984,569,13650,20611
Northern Kentucky University,55,996,379,17,166,252,13225,15090
Northern State University,55,49,79,6,31,52,3259,3531
Northwest Christian University,18,16,57,3,15,24,572,705
Northwest Missouri State University,20,374,182,8,39,167,5930,6720
Northwest Nazarene University,14,37,175,9,27,44,1943,2249
Northwestern Oklahoma State University,137,136,150,10,15,11,1707,2166
Northwestern University,22,1058,1662,12,2865,702,15233,21554
Norwich University,14,200,249,12,85,144,2968,3672
Notre Dame of Maryland University,22,631,113,6,188,0,1804,2764
Nova Southeastern University,42,5374,6150,13,1491,428,10650,24148
Oakland University,79,1601,565,17,955,492,16810,20519
Oakwood University,11,1629,47,0,9,0,243,1939
Oberlin College,3,154,215,2,124,168,2312,2978
Oglethorpe University,3,202,113,0,43,29,704,1094
Ohio Northern University,4,113,40,3,56,105,3374,3695
Ohio Wesleyan University,1,116,72,0,40,79,1426,1734
Oklahoma Baptist University,107,118,45,5,17,159,1528,1979
Oklahoma Christian University,48,308,142,1,203,153,1620,2475
Oklahoma City University,87,162,203,1,74,200,2308,3035
Oklahoma Panhandle State University,43,135,211,0,17,34,858,1298
Oklahoma Wesleyan University,97,88,96,3,5,55,1001,1345
Old Dominion University,89,5980,1578,98,995,1319,14873,24932
Oral Roberts University,113,565,273,0,80,154,2296,3481
Oregon Institute of Technology,49,58,357,27,232,214,3323,4260
Oregon State University,172,395,2101,98,1901,1653,22566,28886
Ouachita Baptist University,11,129,58,1,13,0,1289,1501
Pacific Lutheran University,28,95,249,24,218,233,2395,3242
Pacific Northwest College of Art,7,5,27,1,12,62,405,519
Pacific University,24,58,288,56,507,267,2440,3640
Park University,80,2014,1337,48,267,307,6739,10792
Peru State College,15,182,130,7,31,68,2066,2499
Pfeiffer University,6,460,57,1,24,20,1216,1784
Philander Smith College,1,512,2,1,3,11,37,567
Pittsburg State University,104,273,312,10,56,333,6391,7479
Plymouth State University,13,101,122,0,100,61,4458,4855
Pomona College,4,109,232,2,213,122,968,1650
Portland State University,376,886,2664,164,2024,1314,20268,27696
Prairie View A&M University,25,7087,229,8,243,58,779,8429
Presbyterian College,4,199,28,1,45,23,1160,1460
Prescott College,22,24,21,2,12,39,728,848
Princeton University,10,474,571,7,1282,281,5463,8088
Providence College,8,189,318,9,51,77,3881,4533
Queens University of Charlotte,9,385,120,1,54,27,1652,2248
Quinnipiac University,20,463,694,6,291,140,7421,9035
Radford University,27,1101,499,20,143,435,7573,9798
Ramapo College of New Jersey,16,319,781,11,377,70,4429,6003
Randolph College,4,74,31,0,20,24,540,693
Reed College,4,26,146,3,80,113,1022,1394
Regis University,57,521,1392,21,428,234,6555,9208
Rensselaer Polytechnic Institute,6,182,439,3,629,386,5190,6835
Rhode Island College,32,639,1153,10,249,144,6414,8641
Rhode Island School of Design,3,50,189,2,386,86,1733,2449
Rhodes College,6,128,73,0,133,62,1652,2054
Rice University,5,340,746,6,1102,222,4200,6621
Rider University,8,529,528,8,235,118,3868,5294
Ripon College,2,19,40,0,12,15,752,840
Roanoke College,7,110,76,2,30,85,1740,2050
Rockhurst University,5,146,143,3,91,79,2535,3002
Rocky Mountain College,21,32,18,5,10,67,854,1007
Roger Williams University,42,117,238,3,107,4,4373,4884
