university_name,state,state_abbv,type,degree_length,room_and_board,In-State Tuition,in_state_total,Out-of-State Tuition,out_of_state_total,Early Career Pay,Mid Career Pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment,,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,,state_code,avg_tuition_oos,avg_tuition_is,avg_early_pay,avg_mid_pay
Campbellsville University,Kentucky,KY,Private,Private,4 Year,8000,25400,33400,25400,37600,66800,6,375,56,4,17,41,2928,3427,,0.18%,10.94%,1.63%,0.12%,0.50%,1.20%,85.44%,,,,,,
Cardinal Stritch University,Wisconsin,WI,Private,Private,4 Year,8440,29998,38438,29998,47000,82500,18,842,293,8,76,71,2503,3811,,0.47%,22.09%,7.69%,0.21%,1.99%,1.86%,65.68%,,,,,,
Carleton College,Minnesota,MN,Private,Private,4 Year,14085,54759,68844,54759,58800,109900,3,79,130,2,184,93,1566,2057,,0.15%,3.84%,6.32%,0.10%,8.95%,4.52%,76.13%,,,,,,
Carnegie Mellon University,Pennsylvania,PA,Private,Private,4 Year,14418,55465,69883,55465,75900,136100,9,402,574,2,2071,334,9195,12587,,0.07%,3.19%,4.56%,0.02%,16.45%,2.65%,73.05%,,,,,,
Carroll College,Montana,MT,Private,Private,4 Year,9880,35486,45366,35486,48200,91400,18,11,71,4,21,23,1292,1440,,1.25%,0.76%,4.93%,0.28%,1.46%,1.60%,89.72%,,,,,,
Carroll University,Wisconsin,WI,Private,Private,4 Year,9484,31918,41402,31918,45600,86500,2,37,190,3,116,68,3030,3446,,0.06%,1.07%,5.51%,0.09%,3.37%,1.97%,87.93%,,,,,,
Carson-Newman University,Tennessee,TN,Private,Private,4 Year,8810,27900,36710,27900,42700,76500,3,153,34,0,13,0,2159,2362,,0.13%,6.48%,1.44%,0.00%,0.55%,0.00%,91.41%,,,,,,
Carthage College,Wisconsin,WI,Private,Private,4 Year,11990,43550,55540,43550,48900,85400,12,153,126,7,33,71,2546,2948,,0.41%,5.19%,4.27%,0.24%,1.12%,2.41%,86.36%,,,,,,
Case Western Reserve University,Ohio,OH,Private,Private,4 Year,15190,49042,64232,49042,66600,117800,14,563,444,5,1543,269,7933,10771,,0.13%,5.23%,4.12%,0.05%,14.33%,2.50%,73.65%,,,,,,
Catawba College,North Carolina,NC,Private,Private,4 Year,10488,30520,41008,30520,42500,78100,12,265,48,0,15,28,932,1300,,0.92%,20.38%,3.69%,0.00%,1.15%,2.15%,71.69%,,,,,,
Centenary College of Louisiana,Louisiana,LA,Private,Private,4 Year,13400,36580,49980,36580,47000,88400,6,88,35,1,21,22,446,619,,0.97%,14.22%,5.65%,0.16%,3.39%,3.55%,72.05%,,,,,,
Central Baptist College,Arkansas,AR,Private,Private,4 Year,7500,16200,23700,16200,36900,68000,12,175,33,1,2,12,623,858,,1.40%,20.40%,3.85%,0.12%,0.23%,1.40%,72.61%,,,,,,
Central Christian College of Kansas,Kansas,KS,Private,Private,4 Year,8286,26674,34960,26674,37100,66100,19,210,107,5,11,17,796,1165,,1.63%,18.03%,9.18%,0.43%,0.94%,1.46%,68.33%,,,,,,
Central College,Iowa,IA,Private,Private,4 Year,10280,37295,47575,37295,49000,88800,5,26,44,2,15,14,1305,1411,,0.35%,1.84%,3.12%,0.14%,1.06%,0.99%,92.49%,,,,,,
Central Connecticut State University,Connecticut,CT,Public,Public,4 Year,12176,10616,22792,21856,53100,93700,23,1225,1359,11,429,290,8700,12037,,0.19%,10.18%,11.29%,0.09%,3.56%,2.41%,72.28%,,,,,,
Central Michigan University,Michigan,MI,Public,Public,4 Year,10076,12960,23036,12960,47700,83600,181,3016,901,24,317,604,21836,26879,,0.67%,11.22%,3.35%,0.09%,1.18%,2.25%,81.24%,,,,,,
Central Washington University,Washington,WA,Public,Public,4 Year,11115,8072,19187,23053,52700,93200,65,365,1430,137,532,710,8560,11799,,0.55%,3.09%,12.12%,1.16%,4.51%,6.02%,72.55%,,,,,,
Centre College,Kentucky,KY,Private,Private,4 Year,10480,41700,52180,41700,49500,88500,0,64,32,2,46,42,1201,1387,,0.00%,4.61%,2.31%,0.14%,3.32%,3.03%,86.59%,,,,,,
Chadron State College,Nebraska,NE,Public,Public,4 Year,7380,7196,14576,7196,42300,76700,36,116,180,11,25,83,2582,3033,,1.19%,3.82%,5.93%,0.36%,0.82%,2.74%,85.13%,,,,,,
Chaminade University of Honolulu,Hawaii,HI,Private,Private,4 Year,13630,25374,39004,25374,45400,84000,24,152,162,429,726,265,998,2756,,0.87%,5.52%,5.88%,15.57%,26.34%,9.62%,36.21%,,,,,,
Champlain College,Vermont,VT,Private,Private,4 Year,15354,41010,56364,41010,51100,88400,15,97,137,2,54,203,3077,3585,,0.42%,2.71%,3.82%,0.06%,1.51%,5.66%,85.83%,,,,,,
Charleston Southern University,South Carolina,SC,Private,Private,4 Year,10200,25500,35700,25500,42800,76300,18,926,108,4,41,67,2203,3367,,0.53%,27.50%,3.21%,0.12%,1.22%,1.99%,65.43%,,,,,,
Christian Brothers University,Tennessee,TN,Private,Private,4 Year,7400,32820,40220,32820,51500,96500,5,522,99,1,84,39,917,1667,,0.30%,31.31%,5.94%,0.06%,5.04%,2.34%,55.01%,,,,,,
Christopher Newport University,Virginia,VA,Public,Public,4 Year,11460,14754,26214,27220,50800,87200,15,414,258,5,125,251,4153,5221,,0.29%,7.93%,4.94%,0.10%,2.39%,4.81%,79.54%,,,,,,
Claremont McKenna College,California,CA,Private,Private,4 Year,16705,54405,71110,54405,68500,125400,1,54,154,1,142,101,871,1324,,0.08%,4.08%,11.63%,0.08%,10.73%,7.63%,65.79%,,,,,,
Clark Atlanta University,Georgia,GA,Private,Private,4 Year,9524,23436,32960,23436,46300,81100,14,2930,14,0,14,0,513,3485,,0.40%,84.07%,0.40%,0.00%,0.40%,0.00%,14.72%,,,,,,
Clark University,Massachusetts,MA,Private,Private,4 Year,9170,45730,54900,45730,52600,101400,3,121,169,2,179,59,2890,3423,,0.09%,3.53%,4.94%,0.06%,5.23%,1.72%,84.43%,,,,,,
Clarke University,Iowa,IA,Private,Private,4 Year,9600,33350,42950,33350,44900,80200,1,33,44,0,9,16,1097,1200,,0.08%,2.75%,3.67%,0.00%,0.75%,1.33%,91.42%,,,,,,
Clarkson College,Nebraska,NE,Private,Private,4 Year,5398,16920,22318,16920,50900,91500,7,53,36,2,29,19,1075,1221,,0.57%,4.34%,2.95%,0.16%,2.38%,1.56%,88.04%,,,,,,
Clarkson University,New York,NY,Private,Private,4 Year,14908,49444,64352,49444,66400,130100,10,77,170,1,122,73,3420,3873,,0.26%,1.99%,4.39%,0.03%,3.15%,1.88%,88.30%,,,,,,
Cleary University,Michigan,MI,Private,Private,4 Year,9600,20250,29850,20250,47400,84700,0,41,12,0,14,0,470,537,,0.00%,7.64%,2.23%,0.00%,2.61%,0.00%,87.52%,,,,,,
Clemson University,South Carolina,SC,Public,Public,4 Year,10832,14970,25802,36724,57500,106700,41,1347,593,14,389,465,19008,21857,,0.19%,6.16%,2.71%,0.06%,1.78%,2.13%,86.97%,,,,,,
Cleveland State University,Ohio,OH,Public,Public,4 Year,13560,10625,24185,14992,48300,88600,26,2927,731,18,504,435,12295,16936,,0.15%,17.28%,4.32%,0.11%,2.98%,2.57%,72.60%,,,,,,
Coastal Carolina University,South Carolina,SC,Public,Public,4 Year,9190,11536,20726,26648,44700,77600,40,1904,348,13,77,405,7189,9976,,0.40%,19.09%,3.49%,0.13%,0.77%,4.06%,72.06%,,,,,,
Coe College,Iowa,IA,Private,Private,4 Year,9480,45000,54480,45000,47200,86900,3,71,109,1,33,45,1174,1436,,0.21%,4.94%,7.59%,0.07%,2.30%,3.13%,81.75%,,,,,,
Colby College,Maine,ME,Private,Private,4 Year,14190,55210,69400,55210,59200,103300,3,56,113,0,103,98,1474,1847,,0.16%,3.03%,6.12%,0.00%,5.58%,5.31%,79.81%,,,,,,
Colby-Sawyer College,New Hampshire,NH,Private,Private,4 Year,14264,42398,56662,42398,46400,83700,3,88,41,1,21,7,1208,1369,,0.22%,6.43%,2.99%,0.07%,1.53%,0.51%,88.24%,,,,,,
Colgate University,New York,NY,Private,Private,4 Year,13995,55870,69865,55870,68400,130600,2,120,243,3,103,101,2316,2888,,0.07%,4.16%,8.41%,0.10%,3.57%,3.50%,80.19%,,,,,,
College for Creative Studies,Michigan,MI,Private,Private,4 Year,8800,44110,52910,44110,51200,89800,3,130,54,4,61,54,1153,1459,,0.21%,8.91%,3.70%,0.27%,4.18%,3.70%,79.03%,,,,,,
